Clock,Kwh,seasonal,trend,resid,sensor,lag1,lag2,lag3,day,hour,month,dayofweek,quarter,dayofyear,weekofyear,year
2022-12-01 13:00:00,75.9,0.0,75.9,0.0,4,,,,1,13,12,3,4,335,48,2022
2022-12-01 14:00:00,0.0,0.0,0.0,0.0,4,,,,1,14,12,3,4,335,48,2022
2022-12-01 15:00:00,0.0,0.0,0.0,0.0,4,,,,1,15,12,3,4,335,48,2022
2022-12-01 16:00:00,0.0,0.0,0.0,0.0,4,,,,1,16,12,3,4,335,48,2022
2022-12-01 17:00:00,0.0,0.0,0.0,0.0,4,,,,1,17,12,3,4,335,48,2022
2022-12-01 18:00:00,0.0,0.0,0.0,0.0,4,,,,1,18,12,3,4,335,48,2022
2022-12-01 19:00:00,0.0,0.0,0.0,0.0,4,,,,1,19,12,3,4,335,48,2022
2022-12-01 20:00:00,0.0,0.0,0.0,0.0,4,,,,1,20,12,3,4,335,48,2022
2022-12-01 21:00:00,0.0,0.0,0.0,0.0,4,,,,1,21,12,3,4,335,48,2022
2022-12-01 22:00:00,0.0,0.0,0.0,0.0,4,,,,1,22,12,3,4,335,48,2022
2022-12-01 23:00:00,0.0,0.0,0.0,0.0,4,,,,1,23,12,3,4,335,48,2022
2022-12-02 00:00:00,0.0,0.0,0.0,0.0,4,,,,2,0,12,4,4,336,48,2022
2022-12-02 01:00:00,0.0,0.0,0.0,0.0,4,,,,2,1,12,4,4,336,48,2022
2022-12-02 02:00:00,0.0,0.0,0.0,0.0,4,,,,2,2,12,4,4,336,48,2022
2022-12-02 03:00:00,0.0,0.0,0.0,0.0,4,,,,2,3,12,4,4,336,48,2022
2022-12-02 04:00:00,0.0,0.0,0.0,0.0,4,,,,2,4,12,4,4,336,48,2022
2022-12-02 05:00:00,0.0,0.0,0.0,0.0,4,,,,2,5,12,4,4,336,48,2022
2022-12-02 06:00:00,0.0,0.0,0.0,0.0,4,,,,2,6,12,4,4,336,48,2022
2022-12-02 07:00:00,0.0,0.0,0.0,0.0,4,,,,2,7,12,4,4,336,48,2022
2022-12-02 08:00:00,0.0,0.0,0.0,0.0,4,,,,2,8,12,4,4,336,48,2022
2022-12-02 09:00:00,0.0,0.0,0.0,0.0,4,,,,2,9,12,4,4,336,48,2022
2022-12-02 10:00:00,0.0,0.0,0.0,0.0,4,,,,2,10,12,4,4,336,48,2022
2022-12-02 11:00:00,0.0,0.0,0.0,0.0,4,,,,2,11,12,4,4,336,48,2022
2022-12-02 12:00:00,0.0,0.0,0.0,0.0,4,,,,2,12,12,4,4,336,48,2022
2022-12-02 13:00:00,0.0,0.0,0.0,0.0,4,,,,2,13,12,4,4,336,48,2022
2022-12-02 14:00:00,0.0,0.0,0.0,0.0,4,,,,2,14,12,4,4,336,48,2022
2022-12-02 15:00:00,0.0,0.0,0.0,0.0,4,,,,2,15,12,4,4,336,48,2022
2022-12-02 16:00:00,0.0,0.0,0.0,0.0,4,,,,2,16,12,4,4,336,48,2022
2022-12-02 17:00:00,0.0,0.0,0.0,0.0,4,,,,2,17,12,4,4,336,48,2022
2022-12-02 18:00:00,0.0,0.0,0.0,0.0,4,,,,2,18,12,4,4,336,48,2022
2022-12-02 19:00:00,0.0,0.0,0.0,0.0,4,,,,2,19,12,4,4,336,48,2022
2022-12-02 20:00:00,0.0,0.0,0.0,0.0,4,,,,2,20,12,4,4,336,48,2022
2022-12-02 21:00:00,0.0,0.0,0.0,0.0,4,,,,2,21,12,4,4,336,48,2022
2022-12-02 22:00:00,0.0,0.0,0.0,0.0,4,,,,2,22,12,4,4,336,48,2022
2022-12-02 23:00:00,0.0,0.0,0.0,0.0,4,,,,2,23,12,4,4,336,48,2022
2022-12-03 00:00:00,0.0,0.0,0.0,0.0,4,,,,3,0,12,5,4,337,48,2022
2022-12-03 01:00:00,0.0,0.0,0.0,0.0,4,,,,3,1,12,5,4,337,48,2022
2022-12-03 02:00:00,0.0,0.0,0.0,0.0,4,,,,3,2,12,5,4,337,48,2022
2022-12-03 03:00:00,0.0,0.0,0.0,0.0,4,,,,3,3,12,5,4,337,48,2022
2022-12-03 04:00:00,0.0,0.0,0.0,0.0,4,,,,3,4,12,5,4,337,48,2022
2022-12-03 05:00:00,0.0,0.0,0.0,0.0,4,,,,3,5,12,5,4,337,48,2022
2022-12-03 06:00:00,0.0,0.0,0.0,0.0,4,,,,3,6,12,5,4,337,48,2022
2022-12-03 07:00:00,0.0,0.0,0.0,0.0,4,,,,3,7,12,5,4,337,48,2022
2022-12-03 08:00:00,0.0,0.0,0.0,0.0,4,,,,3,8,12,5,4,337,48,2022
2022-12-03 09:00:00,0.0,0.0,0.0,0.0,4,,,,3,9,12,5,4,337,48,2022
2022-12-03 10:00:00,0.0,0.0,0.0,0.0,4,,,,3,10,12,5,4,337,48,2022
2022-12-03 11:00:00,0.0,0.0,0.0,0.0,4,,,,3,11,12,5,4,337,48,2022
2022-12-03 12:00:00,0.0,0.0,0.0,0.0,4,,,,3,12,12,5,4,337,48,2022
2022-12-03 13:00:00,0.0,0.0,0.0,0.0,4,,,,3,13,12,5,4,337,48,2022
2022-12-03 14:00:00,0.0,0.0,0.0,0.0,4,,,,3,14,12,5,4,337,48,2022
2022-12-03 15:00:00,0.0,0.0,0.0,0.0,4,,,,3,15,12,5,4,337,48,2022
2022-12-03 16:00:00,0.0,0.0,0.0,0.0,4,,,,3,16,12,5,4,337,48,2022
2022-12-03 17:00:00,0.0,0.0,0.0,0.0,4,,,,3,17,12,5,4,337,48,2022
2022-12-03 18:00:00,0.0,0.0,0.0,0.0,4,,,,3,18,12,5,4,337,48,2022
2022-12-03 19:00:00,0.0,0.0,0.0,0.0,4,,,,3,19,12,5,4,337,48,2022
2022-12-03 20:00:00,0.0,0.0,0.0,0.0,4,,,,3,20,12,5,4,337,48,2022
2022-12-03 21:00:00,0.0,0.0,0.0,0.0,4,,,,3,21,12,5,4,337,48,2022
2022-12-03 22:00:00,0.0,0.0,0.0,0.0,4,,,,3,22,12,5,4,337,48,2022
2022-12-03 23:00:00,0.0,0.0,0.0,0.0,4,,,,3,23,12,5,4,337,48,2022
2022-12-04 00:00:00,0.0,0.0,0.0,0.0,4,,,,4,0,12,6,4,338,48,2022
2022-12-04 01:00:00,0.0,0.0,0.0,0.0,4,,,,4,1,12,6,4,338,48,2022
