Clock,sensor,dayofyear,hour,dayofweek,quarter,month,year,lag1,lag2,lag3
2022-12-20 00:00:00,18,354,0,1,4,12,2022,,,
2022-12-20 01:00:00,18,354,1,1,4,12,2022,,,
2022-12-20 02:00:00,18,354,2,1,4,12,2022,,,
2022-12-20 03:00:00,18,354,3,1,4,12,2022,,,
2022-12-20 04:00:00,18,354,4,1,4,12,2022,,,
2022-12-20 05:00:00,18,354,5,1,4,12,2022,,,
2022-12-20 06:00:00,18,354,6,1,4,12,2022,,,
2022-12-20 07:00:00,18,354,7,1,4,12,2022,,,
2022-12-20 08:00:00,18,354,8,1,4,12,2022,,,
2022-12-20 09:00:00,18,354,9,1,4,12,2022,,,
2022-12-20 10:00:00,18,354,10,1,4,12,2022,,,
2022-12-20 11:00:00,18,354,11,1,4,12,2022,,,
2022-12-20 12:00:00,18,354,12,1,4,12,2022,,,
2022-12-20 13:00:00,18,354,13,1,4,12,2022,,,
2022-12-20 14:00:00,18,354,14,1,4,12,2022,,,
2022-12-20 15:00:00,18,354,15,1,4,12,2022,,,
2022-12-20 16:00:00,18,354,16,1,4,12,2022,,,
2022-12-20 17:00:00,18,354,17,1,4,12,2022,,,
2022-12-20 18:00:00,18,354,18,1,4,12,2022,,,
2022-12-20 19:00:00,18,354,19,1,4,12,2022,,,
2022-12-20 20:00:00,18,354,20,1,4,12,2022,,,
2022-12-20 21:00:00,18,354,21,1,4,12,2022,,,
2022-12-20 22:00:00,18,354,22,1,4,12,2022,,,
2022-12-20 23:00:00,18,354,23,1,4,12,2022,,,
2022-12-21 00:00:00,18,355,0,2,4,12,2022,,,
2022-12-21 01:00:00,18,355,1,2,4,12,2022,,,
2022-12-21 02:00:00,18,355,2,2,4,12,2022,,,
2022-12-21 03:00:00,18,355,3,2,4,12,2022,,,
2022-12-21 04:00:00,18,355,4,2,4,12,2022,,,
2022-12-21 05:00:00,18,355,5,2,4,12,2022,,,
2022-12-21 06:00:00,18,355,6,2,4,12,2022,,,
2022-12-21 07:00:00,18,355,7,2,4,12,2022,,,
2022-12-21 08:00:00,18,355,8,2,4,12,2022,,,
2022-12-21 09:00:00,18,355,9,2,4,12,2022,,,
2022-12-21 10:00:00,18,355,10,2,4,12,2022,,,
2022-12-21 11:00:00,18,355,11,2,4,12,2022,,,
2022-12-21 12:00:00,18,355,12,2,4,12,2022,,,
2022-12-21 13:00:00,18,355,13,2,4,12,2022,,,
2022-12-21 14:00:00,18,355,14,2,4,12,2022,,,
2022-12-21 15:00:00,18,355,15,2,4,12,2022,,,
2022-12-21 16:00:00,18,355,16,2,4,12,2022,,,
2022-12-21 17:00:00,18,355,17,2,4,12,2022,,,
2022-12-21 18:00:00,18,355,18,2,4,12,2022,,,
2022-12-21 19:00:00,18,355,19,2,4,12,2022,,,
2022-12-21 20:00:00,18,355,20,2,4,12,2022,,,
2022-12-21 21:00:00,18,355,21,2,4,12,2022,,,
2022-12-21 22:00:00,18,355,22,2,4,12,2022,,,
2022-12-21 23:00:00,18,355,23,2,4,12,2022,,,
2022-12-22 00:00:00,18,356,0,3,4,12,2022,,,
2022-12-22 01:00:00,18,356,1,3,4,12,2022,,,
2022-12-22 02:00:00,18,356,2,3,4,12,2022,,,
2022-12-22 03:00:00,18,356,3,3,4,12,2022,,,
2022-12-22 04:00:00,18,356,4,3,4,12,2022,,,
2022-12-22 05:00:00,18,356,5,3,4,12,2022,,,
2022-12-22 06:00:00,18,356,6,3,4,12,2022,,,
2022-12-22 07:00:00,18,356,7,3,4,12,2022,,,
2022-12-22 08:00:00,18,356,8,3,4,12,2022,,,
2022-12-22 09:00:00,18,356,9,3,4,12,2022,,,
2022-12-22 10:00:00,18,356,10,3,4,12,2022,,,
2022-12-22 11:00:00,18,356,11,3,4,12,2022,,,
2022-12-22 12:00:00,18,356,12,3,4,12,2022,,,
2022-12-22 13:00:00,18,356,13,3,4,12,2022,,,
2022-12-22 14:00:00,18,356,14,3,4,12,2022,,,
2022-12-22 15:00:00,18,356,15,3,4,12,2022,,,
2022-12-22 16:00:00,18,356,16,3,4,12,2022,,,
2022-12-22 17:00:00,18,356,17,3,4,12,2022,,,
2022-12-22 18:00:00,18,356,18,3,4,12,2022,,,
2022-12-22 19:00:00,18,356,19,3,4,12,2022,,,
2022-12-22 20:00:00,18,356,20,3,4,12,2022,,,
2022-12-22 21:00:00,18,356,21,3,4,12,2022,,,
2022-12-22 22:00:00,18,356,22,3,4,12,2022,,,
2022-12-22 23:00:00,18,356,23,3,4,12,2022,,,
2022-12-23 00:00:00,18,357,0,4,4,12,2022,,,
2022-12-23 01:00:00,18,357,1,4,4,12,2022,,,
2022-12-23 02:00:00,18,357,2,4,4,12,2022,,,
2022-12-23 03:00:00,18,357,3,4,4,12,2022,,,
2022-12-23 04:00:00,18,357,4,4,4,12,2022,,,
2022-12-23 05:00:00,18,357,5,4,4,12,2022,,,
2022-12-23 06:00:00,18,357,6,4,4,12,2022,,,
2022-12-23 07:00:00,18,357,7,4,4,12,2022,,,
2022-12-23 08:00:00,18,357,8,4,4,12,2022,,,
2022-12-23 09:00:00,18,357,9,4,4,12,2022,,,
2022-12-23 10:00:00,18,357,10,4,4,12,2022,,,
2022-12-23 11:00:00,18,357,11,4,4,12,2022,,,
2022-12-23 12:00:00,18,357,12,4,4,12,2022,,,
2022-12-23 13:00:00,18,357,13,4,4,12,2022,,,
2022-12-23 14:00:00,18,357,14,4,4,12,2022,,,
2022-12-23 15:00:00,18,357,15,4,4,12,2022,,,
2022-12-23 16:00:00,18,357,16,4,4,12,2022,,,
2022-12-23 17:00:00,18,357,17,4,4,12,2022,,,
2022-12-23 18:00:00,18,357,18,4,4,12,2022,,,
2022-12-23 19:00:00,18,357,19,4,4,12,2022,,,
2022-12-23 20:00:00,18,357,20,4,4,12,2022,,,
2022-12-23 21:00:00,18,357,21,4,4,12,2022,,,
2022-12-23 22:00:00,18,357,22,4,4,12,2022,,,
2022-12-23 23:00:00,18,357,23,4,4,12,2022,,,
2022-12-24 00:00:00,18,358,0,5,4,12,2022,,,
2022-12-24 01:00:00,18,358,1,5,4,12,2022,,,
2022-12-24 02:00:00,18,358,2,5,4,12,2022,,,
2022-12-24 03:00:00,18,358,3,5,4,12,2022,,,
2022-12-24 04:00:00,18,358,4,5,4,12,2022,,,
2022-12-24 05:00:00,18,358,5,5,4,12,2022,,,
2022-12-24 06:00:00,18,358,6,5,4,12,2022,,,
2022-12-24 07:00:00,18,358,7,5,4,12,2022,,,
2022-12-24 08:00:00,18,358,8,5,4,12,2022,,,
2022-12-24 09:00:00,18,358,9,5,4,12,2022,,,
2022-12-24 10:00:00,18,358,10,5,4,12,2022,,,
2022-12-24 11:00:00,18,358,11,5,4,12,2022,,,
2022-12-24 12:00:00,18,358,12,5,4,12,2022,,,
2022-12-24 13:00:00,18,358,13,5,4,12,2022,,,
2022-12-24 14:00:00,18,358,14,5,4,12,2022,,,
2022-12-24 15:00:00,18,358,15,5,4,12,2022,,,
2022-12-24 16:00:00,18,358,16,5,4,12,2022,,,
2022-12-24 17:00:00,18,358,17,5,4,12,2022,,,
2022-12-24 18:00:00,18,358,18,5,4,12,2022,,,
2022-12-24 19:00:00,18,358,19,5,4,12,2022,,,
2022-12-24 20:00:00,18,358,20,5,4,12,2022,,,
2022-12-24 21:00:00,18,358,21,5,4,12,2022,,,
2022-12-24 22:00:00,18,358,22,5,4,12,2022,,,
2022-12-24 23:00:00,18,358,23,5,4,12,2022,,,
2022-12-25 00:00:00,18,359,0,6,4,12,2022,,,
2022-12-25 01:00:00,18,359,1,6,4,12,2022,,,
2022-12-25 02:00:00,18,359,2,6,4,12,2022,,,
2022-12-25 03:00:00,18,359,3,6,4,12,2022,,,
2022-12-25 04:00:00,18,359,4,6,4,12,2022,,,
2022-12-25 05:00:00,18,359,5,6,4,12,2022,,,
2022-12-25 06:00:00,18,359,6,6,4,12,2022,,,
2022-12-25 07:00:00,18,359,7,6,4,12,2022,,,
2022-12-25 08:00:00,18,359,8,6,4,12,2022,,,
2022-12-25 09:00:00,18,359,9,6,4,12,2022,,,
2022-12-25 10:00:00,18,359,10,6,4,12,2022,,,
2022-12-25 11:00:00,18,359,11,6,4,12,2022,,,
2022-12-25 12:00:00,18,359,12,6,4,12,2022,,,
2022-12-25 13:00:00,18,359,13,6,4,12,2022,,,
2022-12-25 14:00:00,18,359,14,6,4,12,2022,,,
2022-12-25 15:00:00,18,359,15,6,4,12,2022,,,
2022-12-25 16:00:00,18,359,16,6,4,12,2022,,,
2022-12-25 17:00:00,18,359,17,6,4,12,2022,,,
2022-12-25 18:00:00,18,359,18,6,4,12,2022,,,
2022-12-25 19:00:00,18,359,19,6,4,12,2022,,,
2022-12-25 20:00:00,18,359,20,6,4,12,2022,,,
2022-12-25 21:00:00,18,359,21,6,4,12,2022,,,
2022-12-25 22:00:00,18,359,22,6,4,12,2022,,,
2022-12-25 23:00:00,18,359,23,6,4,12,2022,,,
2022-12-26 00:00:00,18,360,0,0,4,12,2022,,,
2022-12-26 01:00:00,18,360,1,0,4,12,2022,,,
2022-12-26 02:00:00,18,360,2,0,4,12,2022,,,
2022-12-26 03:00:00,18,360,3,0,4,12,2022,,,
2022-12-26 04:00:00,18,360,4,0,4,12,2022,,,
2022-12-26 05:00:00,18,360,5,0,4,12,2022,,,
2022-12-26 06:00:00,18,360,6,0,4,12,2022,,,
2022-12-26 07:00:00,18,360,7,0,4,12,2022,,,
2022-12-26 08:00:00,18,360,8,0,4,12,2022,,,
2022-12-26 09:00:00,18,360,9,0,4,12,2022,,,
2022-12-26 10:00:00,18,360,10,0,4,12,2022,,,
2022-12-26 11:00:00,18,360,11,0,4,12,2022,,,
2022-12-26 12:00:00,18,360,12,0,4,12,2022,,,
2022-12-26 13:00:00,18,360,13,0,4,12,2022,,,
2022-12-26 14:00:00,18,360,14,0,4,12,2022,,,
2022-12-26 15:00:00,18,360,15,0,4,12,2022,,,
2022-12-26 16:00:00,18,360,16,0,4,12,2022,,,
2022-12-26 17:00:00,18,360,17,0,4,12,2022,,,
2022-12-26 18:00:00,18,360,18,0,4,12,2022,,,
2022-12-26 19:00:00,18,360,19,0,4,12,2022,,,
2022-12-26 20:00:00,18,360,20,0,4,12,2022,,,
2022-12-26 21:00:00,18,360,21,0,4,12,2022,,,
2022-12-26 22:00:00,18,360,22,0,4,12,2022,,,
2022-12-26 23:00:00,18,360,23,0,4,12,2022,,,
2022-12-27 00:00:00,18,361,0,1,4,12,2022,,,
2022-12-27 01:00:00,18,361,1,1,4,12,2022,,,
2022-12-27 02:00:00,18,361,2,1,4,12,2022,,,
2022-12-27 03:00:00,18,361,3,1,4,12,2022,,,
2022-12-27 04:00:00,18,361,4,1,4,12,2022,,,
2022-12-27 05:00:00,18,361,5,1,4,12,2022,,,
2022-12-27 06:00:00,18,361,6,1,4,12,2022,,,
2022-12-27 07:00:00,18,361,7,1,4,12,2022,,,
2022-12-27 08:00:00,18,361,8,1,4,12,2022,,,
2022-12-27 09:00:00,18,361,9,1,4,12,2022,,,
2022-12-27 10:00:00,18,361,10,1,4,12,2022,,,
2022-12-27 11:00:00,18,361,11,1,4,12,2022,,,
2022-12-27 12:00:00,18,361,12,1,4,12,2022,,,
2022-12-27 13:00:00,18,361,13,1,4,12,2022,,,
2022-12-27 14:00:00,18,361,14,1,4,12,2022,,,
2022-12-27 15:00:00,18,361,15,1,4,12,2022,,,
2022-12-27 16:00:00,18,361,16,1,4,12,2022,,,
2022-12-27 17:00:00,18,361,17,1,4,12,2022,,,
2022-12-27 18:00:00,18,361,18,1,4,12,2022,,,
2022-12-27 19:00:00,18,361,19,1,4,12,2022,,,
2022-12-27 20:00:00,18,361,20,1,4,12,2022,,,
2022-12-27 21:00:00,18,361,21,1,4,12,2022,,,
2022-12-27 22:00:00,18,361,22,1,4,12,2022,,,
2022-12-27 23:00:00,18,361,23,1,4,12,2022,,,
2022-12-28 00:00:00,18,362,0,2,4,12,2022,,,
2022-12-28 01:00:00,18,362,1,2,4,12,2022,,,
2022-12-28 02:00:00,18,362,2,2,4,12,2022,,,
2022-12-28 03:00:00,18,362,3,2,4,12,2022,,,
2022-12-28 04:00:00,18,362,4,2,4,12,2022,,,
2022-12-28 05:00:00,18,362,5,2,4,12,2022,,,
2022-12-28 06:00:00,18,362,6,2,4,12,2022,,,
2022-12-28 07:00:00,18,362,7,2,4,12,2022,,,
2022-12-28 08:00:00,18,362,8,2,4,12,2022,,,
2022-12-28 09:00:00,18,362,9,2,4,12,2022,,,
2022-12-28 10:00:00,18,362,10,2,4,12,2022,,,
2022-12-28 11:00:00,18,362,11,2,4,12,2022,,,
2022-12-28 12:00:00,18,362,12,2,4,12,2022,,,
2022-12-28 13:00:00,18,362,13,2,4,12,2022,,,
2022-12-28 14:00:00,18,362,14,2,4,12,2022,,,
2022-12-28 15:00:00,18,362,15,2,4,12,2022,,,
2022-12-28 16:00:00,18,362,16,2,4,12,2022,,,
2022-12-28 17:00:00,18,362,17,2,4,12,2022,,,
2022-12-28 18:00:00,18,362,18,2,4,12,2022,,,
2022-12-28 19:00:00,18,362,19,2,4,12,2022,,,
2022-12-28 20:00:00,18,362,20,2,4,12,2022,,,
2022-12-28 21:00:00,18,362,21,2,4,12,2022,,,
2022-12-28 22:00:00,18,362,22,2,4,12,2022,,,
2022-12-28 23:00:00,18,362,23,2,4,12,2022,,,
2022-12-29 00:00:00,18,363,0,3,4,12,2022,,,
2022-12-29 01:00:00,18,363,1,3,4,12,2022,,,
2022-12-29 02:00:00,18,363,2,3,4,12,2022,,,
2022-12-29 03:00:00,18,363,3,3,4,12,2022,,,
2022-12-29 04:00:00,18,363,4,3,4,12,2022,,,
2022-12-29 05:00:00,18,363,5,3,4,12,2022,,,
2022-12-29 06:00:00,18,363,6,3,4,12,2022,,,
2022-12-29 07:00:00,18,363,7,3,4,12,2022,,,
2022-12-29 08:00:00,18,363,8,3,4,12,2022,,,
2022-12-29 09:00:00,18,363,9,3,4,12,2022,,,
2022-12-29 10:00:00,18,363,10,3,4,12,2022,,,
2022-12-29 11:00:00,18,363,11,3,4,12,2022,,,
2022-12-29 12:00:00,18,363,12,3,4,12,2022,,,
2022-12-29 13:00:00,18,363,13,3,4,12,2022,,,
2022-12-29 14:00:00,18,363,14,3,4,12,2022,,,
2022-12-29 15:00:00,18,363,15,3,4,12,2022,,,
2022-12-29 16:00:00,18,363,16,3,4,12,2022,,,
2022-12-29 17:00:00,18,363,17,3,4,12,2022,,,
2022-12-29 18:00:00,18,363,18,3,4,12,2022,,,
2022-12-29 19:00:00,18,363,19,3,4,12,2022,,,
2022-12-29 20:00:00,18,363,20,3,4,12,2022,,,
2022-12-29 21:00:00,18,363,21,3,4,12,2022,,,
2022-12-29 22:00:00,18,363,22,3,4,12,2022,,,
2022-12-29 23:00:00,18,363,23,3,4,12,2022,,,
2022-12-30 00:00:00,18,364,0,4,4,12,2022,,,
2022-12-30 01:00:00,18,364,1,4,4,12,2022,,,
2022-12-30 02:00:00,18,364,2,4,4,12,2022,,,
2022-12-30 03:00:00,18,364,3,4,4,12,2022,,,
2022-12-30 04:00:00,18,364,4,4,4,12,2022,,,
2022-12-30 05:00:00,18,364,5,4,4,12,2022,,,
2022-12-30 06:00:00,18,364,6,4,4,12,2022,,,
2022-12-30 07:00:00,18,364,7,4,4,12,2022,,,
